FID,Group ID,Short Description,Shade?,Wifi available?,Shelter,Facilities / Washroom within 100 m?,Quietness,Raised Seating?,Num Seats,Greenness,Accessibility Score,Latitude,Longitude,Suitability Score
0,01-01,Parking Gate near Bates Residence,0,1,1,0,4,1,2,2,3,43.26367,-79.92321,3.25
1,01-02,Street Lamp,1,0,1,0,3,0,0,3,3,43.26448,-79.92353,1.7375
2,01-03,Picnic Table,1,0,1,0,4,1,6,3,0,43.26454,-79.92359,2.65
3,01-04,Garden House,1,0,2,0,3,0,0,3,0,43.26461,-79.92351,1.8375
4,01-05,Portable Trailer,0,0,1,1,2,1,5,3,2,43.26554,-79.92363,3.125
5,01-06,Wooden Log,1,1,2,0,4,1,8,3,4,43.26509,-79.92303,4.6
6,01-07,Alumni Hall Board,0,1,1,0,3,0,0,3,3,43.26501,-79.92388,2.2375
7,01-08,John Chris Bench,0,1,0,0,3,1,4,3.5,0,43.26461,-79.92313,2.8625
8,01-09,Fire Hydrant,0,1,0,0,2,0,0,2,1,43.26401,-79.92314,1.775
9,01-10,Bates Sign,1,1,1,0,2,0,0,2,2,43.2639,-79.92281,3.075
10,01-11,Bates Building,1,1,1,1,2,0,0,2,3,43.26365,-79.92291,4.625
11,01-12,Bates Entrance,1,1,2,1,3,0,0,3,4,43.26369,-79.92249,5.0375
12,01-13,Bike Stand,0,1,1,0,3,0,0,3,4,43.2637,-79.9247,2.2875
13,02-01,Near throde library front doors,1,1,2,1,1,1,12,3,4,43.26074,-79.92273,5.9125
14,02-02,A.N Bourns front entrance,1,1,2,1,4,1,2,2,4,43.26016,-79.92181,6.05
15,02-03,Lower patio of Bourns science building,1,1,2,1,4,1,10,4,3,43.26007,-79.92153,6.1
16,02-04,Outside GO train terminal,1,1,1,0,3,1,14,1,3,43.26176,-79.92271,4.1375
17,02-05,Outside ET Clark building,1,1,2,1,3,0,0,2,2,43.262,-79.92246,4.8875
18,02-06,Inside the Keyes residence lobby,1,1,2,1,4,1,8,0,4,43.26255,-79.92279,5.95
19,02-07,Northern point of area,1,1,1,1,4,0,0,2,4,43.26255,-79.92271,4.8
20,02-08,Outside Mary F,0,1,1,1,4,0,0,3,2,43.26315,-79.92254,3.75
21,02-09,Bus station outside of Matthews,1,1,1,0,2,0,0,1,3,43.2238,-79.91181,3.075
22,02-10,Outside of Clarke Centre,1,1,1,1,2,0,0,1,2,43.26175,-79.92162,4.525
23,02-11,Dumpster near by Bio building,0,0,0,0,1,0,0,3,2,43.26071,-79.92125,0.3125
24,02-12,BioMed Building,1,1,2,1,3,1,0,0,0,43.2614,-79.92197,5.6875
25,02-13,West Wing of Bourns,1,1,1,1,2,1,3,3,3,43.2603,-79.92296,5.675
26,02-14,Easat head west bistro,1,1,2,1,2,1,10,2,3,43.2623,-79.92257,5.875
